Product,Volume_mm3,Feature_Count,Cycle_Time_min,Quoted_Cost,Material_Brass,Material_Copper,Material_Plastic,Material_Steel,Cost_per_mm3,Complexity_Index
Spindle Shaft,116098.46,5,23.86,3494.05,False,False,True,False,0.030095575772495175,119.3
Connector Plate,12015.09,6,31.07,624.05,False,False,False,False,0.05193885355831708,186.42000000000002
Adapter Ring,26250.17,3,24.53,1312.73,False,False,False,False,0.05000843804059174,73.59
Valve Body,16440.37,5,40.69,1480.53,True,False,False,False,0.09005454256808089,203.45
Spindle Shaft,15702.03,7,31.38,476.35,False,False,True,False,0.030336841796888683,219.66
Flange Cover,129764.48,5,37.13,12970.33,False,True,False,False,0.09995285304576415,185.65
Motor Housing,108512.1,5,45.53,3278.86,False,False,True,False,0.030216538063497066,227.65
Spindle Shaft,76384.34,5,35.68,6881.29,True,False,False,False,0.09008770645920355,178.4
Adapter Ring,23696.78,10,37.26,2148.23,True,False,False,False,0.09065493286429634,372.59999999999997
Valve Body,78826.22,10,36.05,2363.55,False,False,True,False,0.029984312326532977,360.5
Connector Plate,76286.05,3,25.83,6857.41,True,False,False,False,0.08989074673547784,77.49
Adapter Ring,34248.26,1,23.56,1044.1,False,False,True,False,0.030486220321849923,23.56
Adapter Ring,70739.23,5,54.48,4964.78,False,False,False,True,0.07018425278307383,272.4
Motor Housing,65790.66,14,38.42,2013.38,False,False,True,False,0.03060282416987457,537.88
Custom Bracket,96219.01,9,18.44,2914.97,False,False,True,False,0.030295156851021434,165.96
Valve Body,98913.11,14,32.4,8920.17,True,False,False,False,0.0901818778117481,453.59999999999997
Precision Gear,16342.56,1,23.17,1497.13,True,False,False,False,0.09160927051820524,23.17
Adapter Ring,62445.77,3,56.35,3147.79,False,False,False,False,0.050408378341719545,169.05
Custom Bracket,97620.39,13,5.41,4901.38,False,False,False,False,0.05020856810754393,70.33
Precision Gear,80439.08,13,17.39,5621.05,False,False,False,True,0.06987959086553451,226.07
